Tournament,Team Name,Player,Scene
CC3,Down To Flex,Melanie Brown,PDX
CC3,Down To Flex,Quinn Mazure,SEA
CC3,Down To Flex,Katrina,PDX
CC3,Down To Flex,Nick Higgins,PDX
CC3,Blue-Eyes White Privilege,Rusteen Honardoost,LA
CC3,Blue-Eyes White Privilege,Liz Barrera,PHX
CC3,Blue-Eyes White Privilege,Max,PHX
CC3,Blue-Eyes White Privilege,Stephen G,LA
CC3,Blue-Eyes White Privilege,Woody Stanfield,CHI
CC3,Farfetch'd Fan Club,Nicole McKeon,LA
CC3,Farfetch'd Fan Club,Phil Bessenecker,LA
CC3,Farfetch'd Fan Club,Neda Xaymountry,LA
CC3,Farfetch'd Fan Club,Kasi White,MPLS
CC3,Farfetch'd Fan Club,McKenna Caldwell,SLC
CC3,Attack of the Crones,Brian Lee,SF
CC3,Attack of the Crones,Kyle,PHX
CC3,Attack of the Crones,Max,SF
CC3,Attack of the Crones,Eric Merritt,DFW
CC3,Attack of the Crones,Keoni Monitz,SF
CC3,Stat Daddies,Ben Engel,SLC
CC3,Stat Daddies,Curtis Clements,SLC
CC3,Stat Daddies,Jared Nyman,SLC
CC3,Stat Daddies,Gene,SLCf
CC3,Stat Daddies,Jake,SLC
CC3,Applesauce,Johnmark Faris,PDX
CC3,Applesauce,Andi Slobodien,PDX
CC3,Applesauce,Neal Smith,PDX
CC3,Applesauce,Lex Wilkins,PDX
CC3,Applesauce,Taryn Costello,PDX
CC3,ELF Poison Wizard,Jared Gamble,SEA
CC3,ELF Poison Wizard,Kyle Gustafson,MKE
CC3,ELF Poison Wizard,Carlos Trejo,DFW
CC3,ELF Poison Wizard,Benton J,ATX
CC3,ELF Poison Wizard,Richard T,SEA
CC3,Daddy Mayo,Kyle Shipwash,CLT
CC3,Daddy Mayo,Rik Oclon,PHX
CC3,Daddy Mayo,Sara Ullenbruch,PHX
CC3,Daddy Mayo,Hannah,CIN
CC3,Daddy Mayo,Ray Wang,PHX
CC3,Free Agents,Jordan Lamoreaux,PHX
CC3,Free Agents,Brooke Blair,PHX
CC3,Free Agents,James Bear,PHX
CC3,Free Agents,Ruffles,PHX
CC3,Free Agents,Anna,PHX
